task_id,project_type,business_domain,phase,gate,task_name,task_alias,owner_role,owner_name,responsible_department,collaborate_departments,input_doc,deliverable,approval_role,approval_mode,system_node,trigger_condition,due_rule,is_required,version,effective_date,source
T001,曜川电驱平台项目,电机,立项阶段,GR0 项目立项评审,项目立项申请,立项申请,项目经理,周宁,项目管理部,,项目机会清单,项目立项申请表,项目经理,会签,GR0-001,收到虚构客户需求包,GR0前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T002,澜星热管理总成项目,电控,立项阶段,GR0 项目立项评审,客户需求分析,需求分析,产品经理,陆知衡,电控软件部,,虚构客户需求包,客户需求分析报告,系统工程师,会签,GR0-002,立项申请创建后,GR0前3个工作日,是,V2.0,2025-03-15,U001;APPT-001
T003,青衡高压电源项目,电源,立项阶段,GR0 项目立项评审,商业可行性测算,可行性测算,成本经理,韩知夏,项目管理部,,需求分析报告,商业可行性测算表,项目财务经理,会签,GR0-003,立项评审排期后,GR0前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T004,启岚整机集成项目,整机,准备阶段,GR1 项目启动评审,项目计划制定,主计划,项目经理,周宁,项目管理部,,立项批准记录,项目主计划,项目经理,单人审批,GR1-004,GR0通过后,GR1前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T005,曜川电驱平台项目,热管理,准备阶段,GR1 项目启动评审,核心团队任命确认,团队任命,项目经理,周宁,项目管理部,,组织架构草案,核心团队任命表,项目经理,单人审批,GR1-005,项目主计划发布后,GR1前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T006,澜星热管理总成项目,传动系统,准备阶段,GR1 项目启动评审,初始风险清单建立,风险清单,质量工程师,何沐川,质量管理部,,历史问题库,初始风险清单,质量工程师,会签,GR1-006,团队任命完成后,GR1前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T007,青衡高压电源项目,车载软件,策划阶段,GR2 方案冻结评审,系统需求分解与追溯,需求追溯,系统工程师,陆知衡,软件开发部,,客户需求分析报告,系统需求规格说明书,产品经理,会签,GR2-007,GR1通过后,GR2前7个工作日,是,V2.0,2025-03-15,U029;MIN-019
T008,启岚整机集成项目,电机,策划阶段,GR2 方案冻结评审,DFMEA,设计FMEA,质量工程师,何沐川,质量管理部,,系统需求规格说明书,DFMEA及特殊特性清单,质量工程师,会签,GR2-008,方案设计启动后,GR2前5个工作日,是,V2.0,2025-03-15,U009;MIN-005
T009,曜川电驱平台项目,电控,策划阶段,GR2 方案冻结评审,供应商长名单建立,供应商长名单,采购工程师,温澄,采购部,,初始BOM清单,供应商长名单,采购工程师,单人审批,GR2-009,关键外购件识别后,GR2前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T010,澜星热管理总成项目,电源,A样阶段,GR3 A样启动评审,A样设计输入冻结,A样输入,系统工程师,陆知衡,电源开发部,,系统需求规格说明书,A样设计输入冻结单,系统工程师,会签,GR3-010,A样启动申请创建后,GR3前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
